,category,legName,pieceName,content
0,family,"Rectification of a Muslim Marriage Register of the Paranakuru Korale (Kegalla District) Act, No. 4 of 1965",0-Intro.txt,"Rectification Of A Muslim Marriage Register Of The ParanaKuru korale (Kegalla District) 
AN ACT TO ENABLE THE RE-ENTRY OF CERTAIN LOST ENTRIES IN THE MARRIAGE REGISTER KEPT BY ONE OF THE REGISTRARS OF MUSLIM MARRIAGES APPOINTED FOR THE PARANAKURU KORALE IN THE KEGALLA DISTRICT UNDER THE MUSLIM MARRIAGE AND DIVORCE ACT.
Cap. 115.
Whereas in the month of May, 1959, A. L. M. Aboosally Marikkar, one of the Registrars of Muslim Marriages appointed for the Paranakuru Korale in the administrative district of Kegalla, under the Muslim Marriage and Divorce Act, entered statements of the particulars of certain marriages, in foil and counterfoil, in the marriage register kept by him under section 18 of that Act: And whereas the volume of the said marriage register containing the said statements has subsequently been reported to have been lost:
And whereas it is expedient that statements of the particulars of the said marriages should be entered afresh in the said marriage register:
Be it, therefore, enacted by the Queen’s Most Excellent Majesty, by and with the advice and consent of the Senate and the House of Representatives of Ceylon in this present Parliament assembled, and by the authority of the same, as follows:"
1,family,"Rectification of a Muslim Marriage Register of the Paranakuru Korale (Kegalla District) Act, No. 4 of 1965",1-Short title.txt,"This Act may be cited as the Rectification of a Muslim Marriage Register of the Paranakuru Korale (Kegalla District) Act, No. 4 of 1965."
2,family,"Rectification of a Muslim Marriage Register of the Paranakuru Korale (Kegalla District) Act, No. 4 of 1965",2-Rectification of marriage register kept by a Registrar of Muslim Marriages for the Paranakuru Korale in the Kegalla District. Cap. 115.txt,"(1) Where any marriages have been registered by A. L. M. Aboosally Marikkar, one of the Registrars of Muslim Marriages appointed for the Paranakuru Korale in the administrative district of Kegalla under the Muslim Marriage and Divorce Act, in the month of May, 1959, and the statements of the particulars of such marriages have been entered in any volume of the marriage register kept by the said A. L. M. Aboosally Marikkar as registrar under section 13 of the Muslim Marriage and Divorce Act and reported by him to have been lost, and such statements are not available in foil or counterfoil, it shall be lawful for either of the parties to any such marriage, or, where either of them is dead, for any representative of either such party who is acceptable to the District Registrar of the Kegalla administrative district, (hereinafter called the ” District Registrar”), to apply to the District Registrar to have the statement of particulars of such marriage entered afresh in the marriage register (hereinafter called the ” register “) in which the statement of particulars of such marriage was previously entered.

(2) On receipt of such application the District Registrar shall cause the officiating priest or registrar before whom such marriage was contracted and any other persons whom he considers it expedient to hear, to be served with a notice to show cause, on or before such date as the District Registrar may determine, why such application should not be granted. 

(3) If no sufficient cause is shown on or before such date to the contrary and the District Registrar is satisfied, after hearing such evidence as may be adduced, that such marriage was in fact contracted, that it has been registered but that neither the foil nor the counterfoil containing the statement of the particulars of such marriage is available, and that the registration of such marriage is not forbidden by any provision of the Muslim Marriage and Divorce Act, he shall by order under his hand direct the appropriate registrar to enter afresh the statement of particulars of such marriage in the register.

(4) It shall, thereupon, be the duty of such registrar to enter afresh the statement of the particulars of such marriage in the register as nearly as the circumstances permit in accordance with the provisions of sections 18, 19 and 20 of the Muslim Marriage and Divorce Act:
Provided, however, that it shall not be necessary for the prescribed fee to be paid or any stamp to be affixed to the foil of the entry relating to such marriage.

(5) The statement of the particulars of any marriage so entered shall bear the date of the original registration as the date of registration.

(6) Where the statement of the particulars of any marriage has been entered in the register under this Act, such entry shall be deemed to have been made, and the marriage to which such entry relates shall be deemed to have been registered, with effect from the date of registration set out in the entry, in accordance with the provisions of the Muslim Marriage and Divorce Act."
3,family,Kandyan Marriage and Divorce Act,0-Intro.txt,"MARRIAGE AND DIVORCE (KANDYAN)
AN ACT TO AMEND AND CONSOLIDATE THE LAW RELATING TO KANDYAN MARRIAGES AND DIVORCES, AND TO MAKE PROVISION FOR MATTERS CONNECTED THEREWITH OR INCIDENTAL THERETO.
Law Nos, 
41 of 1975
Act Nos, 
44 of 1952 
34 of 1954 
22 of 1955
[1st August, 1954]"
4,family,Kandyan Marriage and Divorce Act,1-Short title.txt,This Act may be cited as the Kandyan Marriage and Divorce Act.
5,family,Kandyan Marriage and Divorce Act,2-Application of Act.txt,"The provisions of this Act shall not, unless otherwise expressly provided therein, apply to marriages contracted before the appointed date.





"
6,family,Kandyan Marriage and Divorce Act,3-Marriages between persons subject to Kandyan law.txt,"(1) Subject to the provisions of this Act-
(a) a marriage, between persons subject to Kandyan law, shall be solemnized and registered under this Act or under the Marriage Registration Ordinance ; and -,
(b) any such marriage which is not so solemnized and registered shall be invalid.

(2) The fact that a marriage, between persons subject to Kandyan law, is solemnized and registered under the Marriage Registration Ordinance shall not affect the rights of such persons, or of other persons claiming title from or through such persons, to succeed to property under and in accordance with the Kandyan law."
7,family,Kandyan Marriage and Divorce Act,4-Lawful age of marriage.txt,"(1) No Kandyan marriage shall be valid if, at the time of marriage-
(a) the male party thereto is under the lawful age of marriage; or
(b) the female party thereto is under the lawful age of marriage; or
(c) the male and female panics thereto are both under the lawful age of marriage.

(2) Notwithstanding anything in subsection (1), a Kandyan marriage shall be deemed not to be or to have been invalid under that subsection by reason of one party and one party only thereto being, at the time of marriage, under the lawful age of marriage-
(a) if both parties thereto cohabit as husband and wife, for a period of one year after the party aforesaid has attained the lawful age of marriage; or
(b) if a child is born of the marriage before the party aforesaid has attained the lawful age of marriage.

(3) Notwithstanding anything in subsection (1), a Kandyan marriage shall be deemed not to be or to have been invalid under that subsection by reason of both parties thereto being, at the time of marriage, under the lawful age of marriage.-
(a) if both such parties cohabit as husband and wife for a period of one year after they both have attained the lawful age of marriage; or
(b) if a child is born of the marriage before both or either of them have attained the lawful age of marriage.

"
8,family,Kandyan Marriage and Divorce Act,5-Prohibited degrees of relationship.txt,"(1) No Kandyan marriage shall be valid-
(a) if either party thereto is directly descended from the other; or
(b) if the female party thereto is the sister of the male party thereto either by the full or the half-blood, or the daughter of his brother or of his sister by the full or the half-blood, or a descendant from either of them, or the daughter of his wife by another father, or his son’s or grandson’s or father’s or grandfather’s widow; or
(c) if the male party thereto is the brother of the female party thereto either by the full or the half-blood, or the son of her brother or of her sister by the full or the half- blood, or a descendant from either of them, or the son of her husband by another mother, or her deceased daughter’s or granddaughter’s or mother’s or grandmother’s husband.

(2) No marriage or take place between subject to Kandyan law, stand towards each other in any of the degrees of relationship specified in paragraph (a) or paragraph (b) or paragraph (c) of subsection (1) of this section ; and in the event of any marriage or cohabitation between such persons, each such person shall be guilty of an offence under this Act."
9,family,Kandyan Marriage and Divorce Act,6-Second marriage without legal dissolution of first marriage invalid.txt,"No Kandyan marriage shall be valid-
(a) if one party thereto has contracted a
prior marriage; and
(b) if the other party to such prior marriage is still living,
unless such prior marriage has been lawfully dissolved or declared void."
